Training Alpaca-LoRA model with params:
base_model: /data/llmweights/llama-2-7b-hf
cf_model: ./df_data/TKY/cf_emb/lgn-3-128.pth.tar
data_path: ./df_data/TKY/train.json
val_set_size: 10000
description_path: ./df_data/TKY/description_train.npy
sample: -1
seed: 2024
output_dir: /data/Secor/TKY0612
batch_size: 64
micro_batch_size: 8
num_epochs: 5
learning_rate: 0.0001
cutoff_len: 512
lora_r: 8
lora_alpha: 16
lora_dropout: 0.05
lora_target_modules: ['q_proj', 'v_proj']
train_on_inputs: True
group_by_length: False
resume_from_checkpoint: None

trainable params: 4,194,304 || all params: 6,743,138,304 || trainable%: 0.062201067380035155
{'loss': 48.4403, 'grad_norm': 230.86691284179688, 'learning_rate': 5e-06, 'epoch': 0.02}
{'loss': 4.7346, 'grad_norm': 36.559078216552734, 'learning_rate': 9.668103448275863e-05, 'epoch': 0.22}
{'loss': 4.348, 'grad_norm': 25.222549438476562, 'learning_rate': 9.633620689655172e-05, 'epoch': 0.24}
{'loss': 4.0462, 'grad_norm': 27.389583587646484, 'learning_rate': 9.599137931034483e-05, 'epoch': 0.26}
{'loss': 4.1427, 'grad_norm': 40.209564208984375, 'learning_rate': 9.564655172413793e-05, 'epoch': 0.27}
{'loss': 3.8634, 'grad_norm': 14.986279487609863, 'learning_rate': 9.530172413793104e-05, 'epoch': 0.29}
{'loss': 3.639, 'grad_norm': 17.98178482055664, 'learning_rate': 9.495689655172414e-05, 'epoch': 0.31}
{'loss': 3.3858, 'grad_norm': 17.02434539794922, 'learning_rate': 9.461206896551724e-05, 'epoch': 0.32}
{'loss': 3.3344, 'grad_norm': 17.213733673095703, 'learning_rate': 9.426724137931035e-05, 'epoch': 0.34}
{'loss': 3.1114, 'grad_norm': 19.115175247192383, 'learning_rate': 9.392241379310345e-05, 'epoch': 0.36}
{'loss': 3.3939, 'grad_norm': 20.35038185119629, 'learning_rate': 9.357758620689656e-05, 'epoch': 0.38}
{'loss': 3.805, 'grad_norm': 19.877201080322266, 'learning_rate': 9.323275862068967e-05, 'epoch': 0.39}
{'loss': 2.8656, 'grad_norm': 10.061803817749023, 'learning_rate': 9.288793103448277e-05, 'epoch': 0.41}
{'loss': 2.8822, 'grad_norm': 13.075753211975098, 'learning_rate': 9.254310344827586e-05, 'epoch': 0.43}
{'loss': 2.7908, 'grad_norm': 9.544235229492188, 'learning_rate': 9.219827586206897e-05, 'epoch': 0.44}
{'loss': 2.9056, 'grad_norm': 9.184391975402832, 'learning_rate': 9.185344827586207e-05, 'epoch': 0.46}
{'loss': 2.758, 'grad_norm': 10.688948631286621, 'learning_rate': 9.150862068965518e-05, 'epoch': 0.48}
{'loss': 2.5457, 'grad_norm': 8.407144546508789, 'learning_rate': 9.116379310344828e-05, 'epoch': 0.49}
{'loss': 2.5774, 'grad_norm': 10.549407958984375, 'learning_rate': 9.081896551724138e-05, 'epoch': 0.51}
{'loss': 2.6816, 'grad_norm': 9.670906066894531, 'learning_rate': 9.047413793103449e-05, 'epoch': 0.53}
{'loss': 2.5902, 'grad_norm': 7.571590423583984, 'learning_rate': 9.012931034482759e-05, 'epoch': 0.55}
{'loss': 2.6677, 'grad_norm': 11.535229682922363, 'learning_rate': 8.97844827586207e-05, 'epoch': 0.56}
{'loss': 2.4692, 'grad_norm': 12.231036186218262, 'learning_rate': 8.94396551724138e-05, 'epoch': 0.58}
{'loss': 2.4411, 'grad_norm': 9.848220825195312, 'learning_rate': 8.909482758620689e-05, 'epoch': 0.6}
{'loss': 2.4913, 'grad_norm': 5.800318717956543, 'learning_rate': 8.875e-05, 'epoch': 0.61}
{'loss': 2.4166, 'grad_norm': 5.903843879699707, 'learning_rate': 8.84051724137931e-05, 'epoch': 0.63}
{'loss': 2.405, 'grad_norm': 5.532503604888916, 'learning_rate': 8.806034482758621e-05, 'epoch': 0.65}
{'loss': 2.4051, 'grad_norm': 7.711214065551758, 'learning_rate': 8.771551724137932e-05, 'epoch': 0.67}
{'loss': 2.306, 'grad_norm': 5.403173923492432, 'learning_rate': 8.737068965517242e-05, 'epoch': 0.68}
{'loss': 2.2875, 'grad_norm': 4.519767761230469, 'learning_rate': 8.702586206896553e-05, 'epoch': 0.7}
{'loss': 2.3035, 'grad_norm': 4.972701072692871, 'learning_rate': 8.668103448275863e-05, 'epoch': 0.72}
{'loss': 2.2546, 'grad_norm': 5.827819347381592, 'learning_rate': 8.633620689655172e-05, 'epoch': 0.73}
{'loss': 2.2648, 'grad_norm': 9.097654342651367, 'learning_rate': 8.599137931034484e-05, 'epoch': 0.75}
{'loss': 2.2144, 'grad_norm': 3.5572500228881836, 'learning_rate': 8.564655172413793e-05, 'epoch': 0.77}
{'loss': 2.2881, 'grad_norm': 4.958624839782715, 'learning_rate': 8.530172413793104e-05, 'epoch': 0.79}
{'loss': 2.2369, 'grad_norm': 5.619235515594482, 'learning_rate': 8.495689655172414e-05, 'epoch': 0.8}
{'loss': 2.1671, 'grad_norm': 2.501271963119507, 'learning_rate': 8.461206896551724e-05, 'epoch': 0.82}
{'loss': 2.1661, 'grad_norm': 4.161557674407959, 'learning_rate': 8.426724137931035e-05, 'epoch': 0.84}
{'loss': 2.1783, 'grad_norm': 5.600453853607178, 'learning_rate': 8.392241379310345e-05, 'epoch': 0.85}
{'loss': 2.2123, 'grad_norm': 4.716168403625488, 'learning_rate': 8.357758620689656e-05, 'epoch': 0.87}
{'loss': 2.1861, 'grad_norm': 3.7397713661193848, 'learning_rate': 8.323275862068966e-05, 'epoch': 0.89}
{'loss': 2.1511, 'grad_norm': 5.00823450088501, 'learning_rate': 8.288793103448275e-05, 'epoch': 0.9}
{'loss': 2.1403, 'grad_norm': 2.5818262100219727, 'learning_rate': 8.254310344827588e-05, 'epoch': 0.92}
{'loss': 2.208, 'grad_norm': 10.428934097290039, 'learning_rate': 8.219827586206898e-05, 'epoch': 0.94}
{'loss': 2.1466, 'grad_norm': 3.6852548122406006, 'learning_rate': 8.185344827586207e-05, 'epoch': 0.96}
{'loss': 2.1512, 'grad_norm': 4.105943202972412, 'learning_rate': 8.150862068965518e-05, 'epoch': 0.97}
{'loss': 2.1689, 'grad_norm': 6.382625579833984, 'learning_rate': 8.116379310344828e-05, 'epoch': 0.99}
{'loss': 2.1024, 'grad_norm': 2.832731008529663, 'learning_rate': 8.081896551724139e-05, 'epoch': 1.01}
{'loss': 2.1247, 'grad_norm': 2.8152332305908203, 'learning_rate': 8.047413793103449e-05, 'epoch': 1.02}
{'loss': 2.1438, 'grad_norm': 3.2263832092285156, 'learning_rate': 8.012931034482759e-05, 'epoch': 1.04}
{'loss': 2.1237, 'grad_norm': 3.1966030597686768, 'learning_rate': 7.97844827586207e-05, 'epoch': 1.06}
{'loss': 2.1144, 'grad_norm': 3.1209805011749268, 'learning_rate': 7.94396551724138e-05, 'epoch': 1.08}
{'loss': 2.1298, 'grad_norm': 2.8037900924682617, 'learning_rate': 7.909482758620689e-05, 'epoch': 1.09}
{'loss': 2.1171, 'grad_norm': 2.6000816822052, 'learning_rate': 7.875e-05, 'epoch': 1.11}
{'loss': 2.151, 'grad_norm': 1.820042371749878, 'learning_rate': 7.84051724137931e-05, 'epoch': 1.13}
{'loss': 2.1352, 'grad_norm': 2.358471632003784, 'learning_rate': 7.806034482758621e-05, 'epoch': 1.14}
{'loss': 2.1282, 'grad_norm': 3.5691447257995605, 'learning_rate': 7.771551724137931e-05, 'epoch': 1.16}
{'loss': 2.1079, 'grad_norm': 3.408879041671753, 'learning_rate': 7.73706896551724e-05, 'epoch': 1.18}
{'loss': 2.1112, 'grad_norm': 3.5053558349609375, 'learning_rate': 7.702586206896553e-05, 'epoch': 1.19}
{'loss': 2.1022, 'grad_norm': 1.6274878978729248, 'learning_rate': 7.668103448275863e-05, 'epoch': 1.21}
{'loss': 2.1204, 'grad_norm': 1.635275959968567, 'learning_rate': 7.633620689655173e-05, 'epoch': 1.23}
{'loss': 2.1372, 'grad_norm': 1.9543260335922241, 'learning_rate': 7.599137931034484e-05, 'epoch': 1.25}
{'loss': 2.1104, 'grad_norm': 2.4536712169647217, 'learning_rate': 7.564655172413793e-05, 'epoch': 1.26}
{'loss': 2.1181, 'grad_norm': 1.844812035560608, 'learning_rate': 7.530172413793105e-05, 'epoch': 1.28}
{'loss': 2.1049, 'grad_norm': 1.785086989402771, 'learning_rate': 7.495689655172414e-05, 'epoch': 1.3}
{'loss': 2.1103, 'grad_norm': 1.9630954265594482, 'learning_rate': 7.461206896551724e-05, 'epoch': 1.31}
{'loss': 2.0899, 'grad_norm': 2.4285056591033936, 'learning_rate': 7.426724137931035e-05, 'epoch': 1.33}
{'loss': 2.1148, 'grad_norm': 1.7539013624191284, 'learning_rate': 7.392241379310345e-05, 'epoch': 1.35}
{'loss': 2.0819, 'grad_norm': 2.273981809616089, 'learning_rate': 7.357758620689656e-05, 'epoch': 1.37}
{'loss': 2.0979, 'grad_norm': 1.9519919157028198, 'learning_rate': 7.323275862068966e-05, 'epoch': 1.38}
{'loss': 2.0893, 'grad_norm': 1.7638202905654907, 'learning_rate': 7.288793103448275e-05, 'epoch': 1.4}
{'loss': 2.1353, 'grad_norm': 2.253444194793701, 'learning_rate': 7.254310344827586e-05, 'epoch': 1.42}
{'loss': 2.1126, 'grad_norm': 1.8952977657318115, 'learning_rate': 7.219827586206896e-05, 'epoch': 1.43}
{'loss': 2.1061, 'grad_norm': 1.6157504320144653, 'learning_rate': 7.185344827586207e-05, 'epoch': 1.45}
{'loss': 2.0994, 'grad_norm': 1.4931832551956177, 'learning_rate': 7.150862068965518e-05, 'epoch': 1.47}
{'loss': 2.0916, 'grad_norm': 1.6656864881515503, 'learning_rate': 7.116379310344828e-05, 'epoch': 1.48}
{'loss': 2.0863, 'grad_norm': 1.4773681163787842, 'learning_rate': 7.081896551724139e-05, 'epoch': 1.5}
{'loss': 2.0982, 'grad_norm': 1.4486982822418213, 'learning_rate': 7.047413793103449e-05, 'epoch': 1.52}
{'loss': 2.1079, 'grad_norm': 2.1919705867767334, 'learning_rate': 7.012931034482759e-05, 'epoch': 1.54}
{'loss': 2.124, 'grad_norm': 1.6752229928970337, 'learning_rate': 6.97844827586207e-05, 'epoch': 1.55}
{'loss': 2.0921, 'grad_norm': 2.124277114868164, 'learning_rate': 6.94396551724138e-05, 'epoch': 1.57}
{'loss': 2.1105, 'grad_norm': 2.237990379333496, 'learning_rate': 6.90948275862069e-05, 'epoch': 1.59}
{'loss': 2.1033, 'grad_norm': 2.015091896057129, 'learning_rate': 6.875e-05, 'epoch': 1.6}
{'loss': 2.0917, 'grad_norm': 2.199537992477417, 'learning_rate': 6.84051724137931e-05, 'epoch': 1.62}
{'loss': 2.0917, 'grad_norm': 1.68346107006073, 'learning_rate': 6.806034482758621e-05, 'epoch': 1.64}
{'loss': 2.1093, 'grad_norm': 1.628389835357666, 'learning_rate': 6.771551724137931e-05, 'epoch': 1.66}
{'loss': 2.089, 'grad_norm': 1.2455201148986816, 'learning_rate': 6.737068965517242e-05, 'epoch': 1.67}
{'loss': 2.1026, 'grad_norm': 1.3839688301086426, 'learning_rate': 6.702586206896552e-05, 'epoch': 1.69}
{'loss': 2.0886, 'grad_norm': 1.3346140384674072, 'learning_rate': 6.668103448275862e-05, 'epoch': 1.71}
{'loss': 2.1182, 'grad_norm': 1.2680732011795044, 'learning_rate': 6.633620689655173e-05, 'epoch': 1.72}
{'loss': 2.0908, 'grad_norm': 1.1873775720596313, 'learning_rate': 6.599137931034482e-05, 'epoch': 1.74}
{'loss': 2.0818, 'grad_norm': 1.2471513748168945, 'learning_rate': 6.564655172413793e-05, 'epoch': 1.76}
{'loss': 2.0991, 'grad_norm': 1.3335493803024292, 'learning_rate': 6.530172413793105e-05, 'epoch': 1.77}
{'loss': 2.0926, 'grad_norm': 1.105201244354248, 'learning_rate': 6.495689655172414e-05, 'epoch': 1.79}
{'loss': 2.0768, 'grad_norm': 1.1523711681365967, 'learning_rate': 6.461206896551724e-05, 'epoch': 1.81}
{'loss': 2.095, 'grad_norm': 1.1874648332595825, 'learning_rate': 6.426724137931035e-05, 'epoch': 1.83}
{'loss': 2.1009, 'grad_norm': 1.3989017009735107, 'learning_rate': 6.392241379310345e-05, 'epoch': 1.84}
{'loss': 2.073, 'grad_norm': 1.3423717021942139, 'learning_rate': 6.357758620689656e-05, 'epoch': 1.86}
{'loss': 2.1133, 'grad_norm': 2.023277759552002, 'learning_rate': 6.323275862068966e-05, 'epoch': 1.88}
{'loss': 2.0976, 'grad_norm': 1.2617560625076294, 'learning_rate': 6.288793103448275e-05, 'epoch': 1.89}
{'loss': 2.0778, 'grad_norm': 1.285108208656311, 'learning_rate': 6.254310344827587e-05, 'epoch': 1.91}
{'loss': 2.0808, 'grad_norm': 1.1233408451080322, 'learning_rate': 6.219827586206896e-05, 'epoch': 1.93}
{'loss': 2.106, 'grad_norm': 1.2046747207641602, 'learning_rate': 6.185344827586207e-05, 'epoch': 1.95}
{'loss': 2.0614, 'grad_norm': 1.1864981651306152, 'learning_rate': 6.150862068965517e-05, 'epoch': 1.96}
{'loss': 2.1057, 'grad_norm': 1.3945633172988892, 'learning_rate': 6.116379310344827e-05, 'epoch': 1.98}
{'loss': 2.1032, 'grad_norm': 1.5099055767059326, 'learning_rate': 6.081896551724138e-05, 'epoch': 2.0}
{'loss': 2.0904, 'grad_norm': 1.1685478687286377, 'learning_rate': 6.047413793103448e-05, 'epoch': 2.01}
{'loss': 2.0766, 'grad_norm': 1.315130352973938, 'learning_rate': 6.0129310344827595e-05, 'epoch': 2.03}
{'loss': 2.0957, 'grad_norm': 1.5059605836868286, 'learning_rate': 5.97844827586207e-05, 'epoch': 2.05}
{'loss': 2.0844, 'grad_norm': 1.2925984859466553, 'learning_rate': 5.94396551724138e-05, 'epoch': 2.07}
{'loss': 2.0845, 'grad_norm': 1.2327510118484497, 'learning_rate': 5.90948275862069e-05, 'epoch': 2.08}
{'loss': 2.0901, 'grad_norm': 1.165101170539856, 'learning_rate': 5.8750000000000005e-05, 'epoch': 2.1}
{'loss': 2.0854, 'grad_norm': 1.2400860786437988, 'learning_rate': 5.840517241379311e-05, 'epoch': 2.12}
{'loss': 2.0971, 'grad_norm': 1.4002541303634644, 'learning_rate': 5.806034482758621e-05, 'epoch': 2.13}
{'loss': 2.0771, 'grad_norm': 1.0920541286468506, 'learning_rate': 5.771551724137931e-05, 'epoch': 2.15}
{'loss': 2.0806, 'grad_norm': 1.0782686471939087, 'learning_rate': 5.7370689655172415e-05, 'epoch': 2.17}
{'loss': 2.0761, 'grad_norm': 1.1308809518814087, 'learning_rate': 5.702586206896552e-05, 'epoch': 2.18}
{'loss': 2.0906, 'grad_norm': 1.1316838264465332, 'learning_rate': 5.668103448275862e-05, 'epoch': 2.2}
{'loss': 2.0735, 'grad_norm': 1.2154560089111328, 'learning_rate': 5.633620689655173e-05, 'epoch': 2.22}
{'loss': 2.0885, 'grad_norm': 1.3867555856704712, 'learning_rate': 5.5991379310344825e-05, 'epoch': 2.24}
{'loss': 2.0829, 'grad_norm': 1.1290912628173828, 'learning_rate': 5.564655172413793e-05, 'epoch': 2.25}
{'loss': 2.0809, 'grad_norm': 1.1757525205612183, 'learning_rate': 5.530172413793103e-05, 'epoch': 2.27}
{'loss': 2.0575, 'grad_norm': 1.116219162940979, 'learning_rate': 5.495689655172414e-05, 'epoch': 2.29}
{'loss': 2.0973, 'grad_norm': 1.2134853601455688, 'learning_rate': 5.461206896551725e-05, 'epoch': 2.3}
{'loss': 2.0769, 'grad_norm': 1.031121850013733, 'learning_rate': 5.426724137931035e-05, 'epoch': 2.32}
{'loss': 2.0771, 'grad_norm': 1.2355214357376099, 'learning_rate': 5.392241379310346e-05, 'epoch': 2.34}
{'loss': 2.1024, 'grad_norm': 1.1039272546768188, 'learning_rate': 5.3577586206896554e-05, 'epoch': 2.36}
{'loss': 2.099, 'grad_norm': 1.1125555038452148, 'learning_rate': 5.323275862068966e-05, 'epoch': 2.37}
{'loss': 2.0756, 'grad_norm': 1.3064627647399902, 'learning_rate': 5.288793103448276e-05, 'epoch': 2.39}
{'loss': 2.0946, 'grad_norm': 1.2978345155715942, 'learning_rate': 5.254310344827587e-05, 'epoch': 2.41}
{'loss': 2.0798, 'grad_norm': 1.0656176805496216, 'learning_rate': 5.219827586206897e-05, 'epoch': 2.42}
{'loss': 2.073, 'grad_norm': 1.837314248085022, 'learning_rate': 5.185344827586207e-05, 'epoch': 2.44}
{'loss': 2.0813, 'grad_norm': 1.0894761085510254, 'learning_rate': 5.150862068965517e-05, 'epoch': 2.46}
{'loss': 2.0816, 'grad_norm': 0.9956596493721008, 'learning_rate': 5.116379310344828e-05, 'epoch': 2.47}
{'loss': 2.0845, 'grad_norm': 1.043781042098999, 'learning_rate': 5.081896551724138e-05, 'epoch': 2.49}
{'loss': 2.0654, 'grad_norm': 1.1500009298324585, 'learning_rate': 5.0474137931034485e-05, 'epoch': 2.51}
{'loss': 2.0887, 'grad_norm': 1.2125358581542969, 'learning_rate': 5.012931034482758e-05, 'epoch': 2.53}
{'loss': 2.0785, 'grad_norm': 1.2324244976043701, 'learning_rate': 4.978448275862069e-05, 'epoch': 2.54}
{'loss': 2.0893, 'grad_norm': 1.3745739459991455, 'learning_rate': 4.94396551724138e-05, 'epoch': 2.56}
{'loss': 2.0796, 'grad_norm': 1.0464859008789062, 'learning_rate': 4.90948275862069e-05, 'epoch': 2.58}
{'loss': 2.0693, 'grad_norm': 1.117840051651001, 'learning_rate': 4.875e-05, 'epoch': 2.59}
{'loss': 2.075, 'grad_norm': 1.9336140155792236, 'learning_rate': 4.84051724137931e-05, 'epoch': 2.61}
{'loss': 2.0756, 'grad_norm': 1.0151208639144897, 'learning_rate': 4.806034482758621e-05, 'epoch': 2.63}
{'loss': 2.082, 'grad_norm': 1.196243405342102, 'learning_rate': 4.771551724137931e-05, 'epoch': 2.65}
{'loss': 2.0707, 'grad_norm': 1.4395259618759155, 'learning_rate': 4.7370689655172416e-05, 'epoch': 2.66}
{'loss': 2.093, 'grad_norm': 1.1230376958847046, 'learning_rate': 4.702586206896552e-05, 'epoch': 2.68}
{'loss': 2.0811, 'grad_norm': 1.2264350652694702, 'learning_rate': 4.6681034482758624e-05, 'epoch': 2.7}
{'loss': 2.0803, 'grad_norm': 1.0396201610565186, 'learning_rate': 4.633620689655173e-05, 'epoch': 2.71}
{'loss': 2.0739, 'grad_norm': 0.8912856578826904, 'learning_rate': 4.5991379310344826e-05, 'epoch': 2.73}
{'loss': 2.1004, 'grad_norm': 0.9397671222686768, 'learning_rate': 4.564655172413793e-05, 'epoch': 2.75}
{'loss': 2.0662, 'grad_norm': 1.0138970613479614, 'learning_rate': 4.5301724137931034e-05, 'epoch': 2.76}
{'loss': 2.0712, 'grad_norm': 0.8796875476837158, 'learning_rate': 4.4956896551724145e-05, 'epoch': 2.78}
{'loss': 2.0741, 'grad_norm': 0.9066224694252014, 'learning_rate': 4.461206896551724e-05, 'epoch': 2.8}
{'loss': 2.0859, 'grad_norm': 1.121364712715149, 'learning_rate': 4.426724137931035e-05, 'epoch': 2.82}
{'loss': 2.0691, 'grad_norm': 1.1683894395828247, 'learning_rate': 4.392241379310345e-05, 'epoch': 2.83}
{'loss': 2.0611, 'grad_norm': 1.1313382387161255, 'learning_rate': 4.3577586206896555e-05, 'epoch': 2.85}
{'loss': 2.0791, 'grad_norm': 1.2042206525802612, 'learning_rate': 4.323275862068966e-05, 'epoch': 2.87}
{'loss': 2.0774, 'grad_norm': 0.9094980359077454, 'learning_rate': 4.288793103448276e-05, 'epoch': 2.88}
{'loss': 2.098, 'grad_norm': 0.9105072617530823, 'learning_rate': 4.254310344827586e-05, 'epoch': 2.9}
{'loss': 2.0827, 'grad_norm': 0.8571854829788208, 'learning_rate': 4.219827586206897e-05, 'epoch': 2.92}
{'loss': 2.0731, 'grad_norm': 0.86076420545578, 'learning_rate': 4.1853448275862076e-05, 'epoch': 2.94}
{'loss': 2.088, 'grad_norm': 0.9737061262130737, 'learning_rate': 4.150862068965517e-05, 'epoch': 2.95}
{'loss': 2.0827, 'grad_norm': 1.1874643564224243, 'learning_rate': 4.116379310344828e-05, 'epoch': 2.97}
{'loss': 2.0766, 'grad_norm': 1.8393982648849487, 'learning_rate': 4.081896551724138e-05, 'epoch': 2.99}
{'loss': 2.0887, 'grad_norm': 0.9175820350646973, 'learning_rate': 4.0474137931034486e-05, 'epoch': 3.0}
{'loss': 2.07, 'grad_norm': 0.9251899719238281, 'learning_rate': 4.012931034482758e-05, 'epoch': 3.02}
{'loss': 2.0623, 'grad_norm': 0.9379704594612122, 'learning_rate': 3.978448275862069e-05, 'epoch': 3.04}
{'loss': 2.0607, 'grad_norm': 1.0980174541473389, 'learning_rate': 3.94396551724138e-05, 'epoch': 3.05}
{'loss': 2.0793, 'grad_norm': 1.507131576538086, 'learning_rate': 3.90948275862069e-05, 'epoch': 3.07}
{'loss': 2.0638, 'grad_norm': 0.9490742087364197, 'learning_rate': 3.875e-05, 'epoch': 3.09}
{'loss': 2.0751, 'grad_norm': 1.0139968395233154, 'learning_rate': 3.8405172413793104e-05, 'epoch': 3.11}
{'loss': 2.0796, 'grad_norm': 0.8991379737854004, 'learning_rate': 3.806034482758621e-05, 'epoch': 3.12}
{'loss': 2.0773, 'grad_norm': 1.0350406169891357, 'learning_rate': 3.771551724137931e-05, 'epoch': 3.14}
{'loss': 2.0823, 'grad_norm': 0.9750857949256897, 'learning_rate': 3.737068965517242e-05, 'epoch': 3.16}
{'loss': 2.065, 'grad_norm': 0.8861411809921265, 'learning_rate': 3.7025862068965514e-05, 'epoch': 3.17}
{'loss': 2.0676, 'grad_norm': 0.9592143297195435, 'learning_rate': 3.6681034482758625e-05, 'epoch': 3.19}
{'loss': 2.0756, 'grad_norm': 1.0543568134307861, 'learning_rate': 3.633620689655173e-05, 'epoch': 3.21}
{'loss': 2.0611, 'grad_norm': 0.8605728149414062, 'learning_rate': 3.5991379310344833e-05, 'epoch': 3.23}
{'loss': 2.0639, 'grad_norm': 0.9548612236976624, 'learning_rate': 3.564655172413793e-05, 'epoch': 3.24}
{'loss': 2.0674, 'grad_norm': 0.9818798303604126, 'learning_rate': 3.5301724137931035e-05, 'epoch': 3.26}
{'loss': 2.0699, 'grad_norm': 1.5110830068588257, 'learning_rate': 3.495689655172414e-05, 'epoch': 3.28}
{'loss': 2.0848, 'grad_norm': 1.034432291984558, 'learning_rate': 3.461206896551724e-05, 'epoch': 3.29}
{'loss': 2.0828, 'grad_norm': 1.0403321981430054, 'learning_rate': 3.426724137931035e-05, 'epoch': 3.31}
{'loss': 2.0861, 'grad_norm': 0.9924900531768799, 'learning_rate': 3.392241379310345e-05, 'epoch': 3.33}
{'loss': 2.0673, 'grad_norm': 0.9417729377746582, 'learning_rate': 3.3577586206896556e-05, 'epoch': 3.35}
{'loss': 2.0748, 'grad_norm': 0.853919267654419, 'learning_rate': 3.323275862068966e-05, 'epoch': 3.36}
{'loss': 2.0836, 'grad_norm': 0.9946768879890442, 'learning_rate': 3.288793103448276e-05, 'epoch': 3.38}
{'loss': 2.074, 'grad_norm': 0.9663435220718384, 'learning_rate': 3.254310344827586e-05, 'epoch': 3.4}
{'loss': 2.0542, 'grad_norm': 1.0298316478729248, 'learning_rate': 3.2198275862068966e-05, 'epoch': 3.41}
{'loss': 2.0711, 'grad_norm': 1.1455634832382202, 'learning_rate': 3.185344827586207e-05, 'epoch': 3.43}
{'loss': 2.079, 'grad_norm': 1.0412235260009766, 'learning_rate': 3.1508620689655174e-05, 'epoch': 3.45}
{'loss': 2.0734, 'grad_norm': 0.9184533357620239, 'learning_rate': 3.116379310344828e-05, 'epoch': 3.46}
{'loss': 2.0743, 'grad_norm': 0.9672529101371765, 'learning_rate': 3.081896551724138e-05, 'epoch': 3.48}
{'loss': 2.0729, 'grad_norm': 1.0734820365905762, 'learning_rate': 3.0474137931034487e-05, 'epoch': 3.5}
{'loss': 2.0733, 'grad_norm': 0.9414093494415283, 'learning_rate': 3.0129310344827588e-05, 'epoch': 3.52}
{'loss': 2.0663, 'grad_norm': 0.8634101748466492, 'learning_rate': 2.9784482758620692e-05, 'epoch': 3.53}
{'loss': 2.0823, 'grad_norm': 0.925997793674469, 'learning_rate': 2.9439655172413793e-05, 'epoch': 3.55}
{'loss': 2.0638, 'grad_norm': 0.918914258480072, 'learning_rate': 2.9094827586206897e-05, 'epoch': 3.57}
{'loss': 2.0802, 'grad_norm': 0.9053230881690979, 'learning_rate': 2.8749999999999997e-05, 'epoch': 3.58}
{'loss': 2.0736, 'grad_norm': 1.1421971321105957, 'learning_rate': 2.840517241379311e-05, 'epoch': 3.6}
{'loss': 2.0764, 'grad_norm': 1.1314258575439453, 'learning_rate': 2.806034482758621e-05, 'epoch': 3.62}
{'loss': 2.0691, 'grad_norm': 0.9501554369926453, 'learning_rate': 2.7715517241379313e-05, 'epoch': 3.64}
{'loss': 2.0825, 'grad_norm': 1.31167471408844, 'learning_rate': 2.7370689655172414e-05, 'epoch': 3.65}
{'loss': 2.0579, 'grad_norm': 1.1116448640823364, 'learning_rate': 2.702586206896552e-05, 'epoch': 3.67}
{'loss': 2.0935, 'grad_norm': 1.581652283668518, 'learning_rate': 2.6681034482758623e-05, 'epoch': 3.69}
{'loss': 2.063, 'grad_norm': 0.8668541312217712, 'learning_rate': 2.6336206896551723e-05, 'epoch': 3.7}
{'loss': 2.0737, 'grad_norm': 0.9891058802604675, 'learning_rate': 2.5991379310344828e-05, 'epoch': 3.72}
{'loss': 2.07, 'grad_norm': 0.9444084167480469, 'learning_rate': 2.5646551724137935e-05, 'epoch': 3.74}
